home_team_encoded,away_team_encoded,referee_encoded,home_goals,away_goals,home_xg,away_xg,home_poss,home_team_form,away_team_form,home_avg_goals_10,home_avg_xg_10,away_avg_goals_10,away_avg_xg_10,home_avg_conceded_10,away_avg_conceded_10,h2h_stat,result
12,4,1,3,3,1.5,1.4,54,1.6,1.5,2.5714285714285716,1.842857142857143,1.5328947368421053,1.4846052631578948,1.2857142857142858,1.5328947368421053,0.0,0
9,16,6,1,4,0.5,3.3,33,1.2,1.5,1.625,1.0875,1.5328947368421053,1.4846052631578948,1.875,1.5328947368421053,0.0,-1
7,6,3,1,2,0.4,1.1,36,1.0,1.8,1.1428571428571428,1.042857142857143,1.4285714285714286,1.2714285714285716,1.5714285714285714,1.4285714285714286,0.0,-1
2,3,26,0,0,0.4,0.9,42,1.2,1.2,0.75,0.45,1.875,1.425,2.375,1.5,0.0,0
19,8,0,1,2,1.7,2.0,55,0.6,1.8,1.0,1.0375,0.875,1.25,1.625,0.875,0.0,-1
21,22,16,2,0,0.9,0.7,39,1.4,1.5,0.625,1.0250000000000001,1.5328947368421053,1.4846052631578948,1.125,1.5328947368421053,0.0,1
14,15,14,6,3,3.2,1.7,53,2.6,1.5,3.625,2.2375,1.5328947368421053,1.4846052631578948,1.125,1.5328947368421053,0.0,1
10,1,24,0,0,0.4,2.2,44,1.0,1.0,1.4285714285714286,1.3714285714285714,0.75,1.1,1.4285714285714286,1.25,0.0,0
11,17,19,4,0,1.3,1.1,51,0.6,1.5,1.75,1.1375,1.5328947368421053,1.4846052631578948,2.75,1.5328947368421053,0.0,1
14,19,1,4,0,2.4,0.2,65,2.6,0.6,3.6666666666666665,2.2555555555555555,0.8888888888888888,0.9444444444444444,1.0,1.8888888888888888,0.0,1
16,3,10,5,1,1.5,1.2,54,1.6,1.0,1.8888888888888888,1.7333333333333334,1.7777777777777777,1.4,1.0,1.8888888888888888,0.0,1
6,22,23,3,0,1.9,1.1,57,2.4,1.5,1.625,1.35,1.5328947368421053,1.4846052631578948,1.25,1.5328947368421053,0.0,1
2,11,15,2,1,1.1,1.0,45,1.8,0.6,0.8888888888888888,0.5222222222222223,1.6666666666666667,1.1222222222222222,2.2222222222222223,2.6666666666666665,0.0,1
4,20,28,0,1,0.7,0.8,59,1.4,1.5,1.75,1.6,1.5328947368421053,1.4846052631578948,1.125,1.5328947368421053,0.0,-1
7,10,16,2,1,1.1,1.0,54,1.0,0.4,1.25,1.05,1.375,1.325,1.5,1.5,0.0,1
21,9,3,3,1,2.4,0.7,50,1.4,1.2,0.8888888888888888,1.1777777777777778,1.5555555555555556,1.0444444444444445,1.1111111111111112,2.0,0.0,1
0,12,14,3,2,2.7,1.1,43,2.4,1.6,2.5555555555555554,1.9888888888888887,2.5,1.75,1.1111111111111112,1.5,0.0,1
8,15,7,1,2,0.6,1.4,40,1.6,1.5,0.8888888888888888,1.1777777777777778,1.5328947368421053,1.4846052631578948,1.0,1.5328947368421053,0.0,-1
17,1,2,1,1,0.3,0.7,40,0.2,1.2,0.7777777777777778,0.9888888888888889,0.7777777777777778,1.0555555555555556,2.4444444444444446,1.2222222222222223,0.0,0
3,4,15,2,0,1.5,1.9,28,1.4,1.5,1.8,1.41,1.5328947368421053,1.4846052631578948,1.7,1.5328947368421053,0.0,1
11,7,1,0,0,1.0,0.4,54,0.8,1.2,1.5,1.1099999999999999,1.1111111111111112,0.9777777777777779,2.4,1.3333333333333333,0.0,0
9,2,8,2,2,2.1,1.0,69,0.8,1.8,1.6,1.15,1.0,0.5700000000000001,2.0,2.2,0.0,0
22,17,26,1,0,1.3,1.5,58,1.2,1.5,0.4,0.9400000000000001,1.5328947368421053,1.4846052631578948,1.2,1.5328947368421053,0.0,1
20,8,16,2,0,2.2,0.4,62,2.4,1.4,2.2,1.69,0.8,1.1,1.0,1.1,0.0,1
15,16,4,0,0,0.8,0.8,63,2.0,1.5,1.4444444444444444,1.3444444444444443,1.5328947368421053,1.4846052631578948,1.6666666666666667,1.5328947368421053,0.0,0
1,6,19,0,2,1.8,0.9,42,1.2,2.4,0.7,1.1300000000000001,1.6666666666666667,1.3,1.3,1.1111111111111112,0.0,-1
10,0,3,0,1,1.8,0.5,47,0.4,2.4,1.2222222222222223,1.3777777777777778,2.4,1.8399999999999999,1.4444444444444444,1.0,0.0,-1
19,21,17,1,1,0.5,1.7,39,0.2,1.5,0.9,0.9,1.5328947368421053,1.4846052631578948,1.8,1.5328947368421053,0.0,0
12,14,2,1,0,2.1,1.0,37,1.6,2.0,2.3333333333333335,1.788888888888889,3.3,2.13,1.3333333333333333,1.0,0.0,1
4,17,6,0,0,1.7,0.1,70,1.0,1.5,1.4,1.64,1.5328947368421053,1.4846052631578948,1.1,1.5328947368421053,0.0,0
7,22,7,2,1,1.2,0.8,51,1.6,1.5,1.2,1.0,1.5328947368421053,1.4846052631578948,1.3,1.5328947368421053,0.0,1
16,8,28,1,0,1.5,0.2,49,2.2,1.2,1.6,1.6199999999999999,0.8,1.05,0.9,1.1,0.0,1
12,21,24,1,0,1.7,1.7,54,1.6,1.5,2.2,1.78,1.5328947368421053,1.4846052631578948,1.2,1.5328947368421053,0.0,1
3,6,9,0,0,1.3,0.9,34,1.0,2.6,1.6,1.46,1.5,1.26,1.5,1.0,0.0,0
2,19,10,0,1,1.0,1.0,54,1.2,0.8,0.8,0.6100000000000001,0.9,0.95,2.3,1.4,0.0,-1
15,20,23,2,0,1.5,0.6,52,2.0,1.5,1.5,1.3599999999999999,1.5328947368421053,1.4846052631578948,1.5,1.5328947368421053,0.0,1
9,1,14,3,0,2.1,1.2,60,1.4,1.0,1.7,1.24,0.7,1.1800000000000002,1.8,1.4,0.0,1
11,10,17,2,0,0.8,1.3,46,1.4,0.2,1.5,1.1300000000000001,1.1,1.3699999999999999,2.2,1.5,0.0,1
17,12,16,1,0,1.9,1.6,25,1.0,1.4,0.7,1.08,2.0,1.8199999999999998,2.1,1.1,0.0,1
14,4,4,3,1,1.6,0.5,48,2.4,1.5,3.4,2.0700000000000003,1.5328947368421053,1.4846052631578948,1.1,1.5328947368421053,0.0,1
8,7,23,3,0,1.4,0.9,46,1.2,1.4,1.0,1.0299999999999998,1.2,0.9700000000000001,0.9,1.4,0.0,1
6,15,24,1,1,1.1,0.8,48,2.2,1.5,1.5,1.2200000000000002,1.5328947368421053,1.4846052631578948,1.1,1.5328947368421053,0.0,0
1,3,6,4,0,2.8,0.9,45,1.0,1.0,0.9,1.23,1.2,1.3900000000000001,1.3,1.9,0.0,1
22,11,14,0,4,2.1,0.9,60,0.6,2.0,0.4,1.01,1.7,1.1700000000000002,1.6,1.8,0.0,-1
10,9,2,2,3,1.6,1.8,57,0.2,1.4,1.1,1.45,2.0,1.27,1.7,2.0,0.0,-1
19,0,19,1,1,0.7,1.0,41,1.0,2.6,0.8,0.9,2.3,1.8399999999999999,1.3,1.1,0.0,0
20,16,9,1,2,1.6,1.2,53,1.2,1.5,1.7,1.6600000000000001,1.5328947368421053,1.4846052631578948,1.1,1.5328947368421053,0.0,-1
21,2,7,2,0,1.9,0.4,55,2.0,1.0,1.1,1.33,0.8,0.64,0.9,2.1,0.0,1
11,14,19,0,1,0.7,1.0,36,1.4,2.4,1.6,1.21,3.1,2.0,1.7,1.1,0.0,-1
16,1,16,4,0,3.4,0.4,59,2.6,0.8,1.9,1.8800000000000001,0.8,1.18,0.7,1.4,0.0,1
4,6,1,4,1,2.4,1.4,41,0.8,1.6,1.7,1.6300000000000001,1.4,1.2,1.4,1.3,0.0,1
3,22,20,1,1,1.4,0.6,58,1.0,1.5,1.1,1.35,1.5328947368421053,1.4846052631578948,1.7,1.5328947368421053,0.0,0
7,19,15,1,0,0.9,1.3,44,2.0,1.0,1.2,0.9600000000000002,0.6,0.9400000000000001,1.3,1.3,0.0,1
2,20,2,2,3,0.5,2.0,31,0.8,1.5,1.0,0.66,1.5328947368421053,1.4846052631578948,2.1,1.5328947368421053,0.0,-1
9,8,10,0,0,1.9,0.9,56,1.6,0.8,1.7,1.22,0.9,0.97,1.8,0.8,0.0,0
12,10,14,1,2,1.7,1.8,68,1.2,0.6,2.0,1.7900000000000003,1.1,1.45,1.2,1.6,0.0,-1
0,17,23,5,0,2.3,0.4,69,2.6,1.5,2.4,1.8,1.5328947368421053,1.4846052631578948,0.9,1.5328947368421053,0.0,1
15,21,3,1,0,1.2,1.1,53,2.2,1.5,1.6,1.3299999999999998,1.5328947368421053,1.4846052631578948,1.0,1.5328947368421053,0.0,1
14,9,6,2,1,2.1,1.0,70,2.4,1.6,3.0,2.0,1.7,1.2399999999999998,0.9,1.8,0.0,1
22,4,8,2,3,1.2,1.5,29,0.8,1.5,0.6,1.05,1.5328947368421053,1.4846052631578948,1.8,1.5328947368421053,0.0,-1
17,3,0,2,2,1.5,1.5,48,1.0,1.2,0.8,1.08,1.2,1.2899999999999998,2.5,1.8,0.0,0
10,2,28,4,3,2.2,1.5,60,1.2,0.2,1.2,1.46,1.3,0.78,1.9,1.6,0.0,1
8,11,7,0,2,1.2,2.3,49,0.8,2.0,0.8,0.9799999999999999,1.7,1.19,0.9,1.5,0.0,-1
6,0,14,0,1,0.3,2.1,45,1.0,2.6,1.4,1.1400000000000001,2.2,1.8800000000000001,1.1,0.9,0.0,-1
1,15,2,3,1,0.6,0.5,42,1.2,1.5,1.1,1.19,1.5328947368421053,1.4846052631578948,1.4,1.5328947368421053,0.0,1
21,7,16,1,2,0.3,1.0,42,0.8,2.0,1.1,1.33,1.1,0.8,1.0,1.3,0.0,-1
19,16,24,1,4,1.7,0.9,55,1.0,1.5,0.7,0.97,1.5328947368421053,1.4846052631578948,1.6,1.5328947368421053,0.0,-1
20,12,1,1,2,1.2,1.2,47,1.2,1.8,1.8,1.57,2.1,1.78,1.5,1.1,0.0,-1
14,3,17,1,2,1.6,1.3,74,1.8,1.2,2.7,1.9400000000000002,1.3,1.28,0.9,1.8,0.0,-1
12,19,23,3,1,1.9,1.1,60,1.8,0.8,1.5,1.64,0.6,0.9700000000000001,1.2,1.8,0.0,1
20,10,15,4,3,1.8,1.1,55,1.2,1.2,2.1,1.6900000000000002,1.5,1.3900000000000001,1.7,2.2,0.0,1
21,11,9,0,2,1.4,1.8,54,0.6,2.4,1.0,1.35,1.9,1.3,1.1,1.4,0.0,-1
2,8,4,3,0,2.4,0.8,36,0.6,0.8,1.6,0.9800000000000001,0.7,0.96,1.6,1.1,0.0,1
17,7,10,1,0,1.1,1.2,32,1.6,1.8,0.9,1.12,0.9,0.9100000000000001,1.9,1.0,0.0,1
16,6,19,1,0,1.0,0.3,49,3.0,0.4,2.2,1.8299999999999996,1.2,0.99,0.5,1.1,0.0,1
22,0,24,0,2,0.7,2.1,38,0.2,2.6,0.6,0.97,2.2,1.8299999999999996,2.0,0.8,0.0,-1
4,1,3,1,2,0.6,1.5,65,1.4,1.8,1.8,1.4700000000000002,1.2,1.3,1.8,1.3,0.0,-1
9,15,16,1,2,1.4,2.5,53,1.4,1.5,1.6,1.31,1.5328947368421053,1.4846052631578948,1.9,1.5328947368421053,0.0,-1
3,20,7,2,2,2.0,1.1,39,1.2,1.5,1.0,1.25,1.5328947368421053,1.4846052631578948,1.8,1.5328947368421053,0.0,0
7,9,1,0,3,0.4,2.5,36,1.2,1.4,0.8,0.85,1.8,1.49,1.2,1.7,0.0,-1
