Player,Squad,Cluster_0_proba,Cluster_1_proba,Cluster_2_proba,Cluster_3_proba,Cluster_4_proba,Cluster_5_proba,Cluster_6_proba,Cluster_7_proba,Cluster_8_proba,Cluster_hard,Cluster_confidence
Che Adams,sct Scotland,0.0,3.8e-07,0.0,8.1e-07,0.99999879,0.0,0.0,2e-08,0.0,4,0.99999879
Patrick Wimmer,at Austria,0.0,0.0,0.0,0.0,0.99999874,0.0,1.26e-06,0.0,0.0,4,0.99999874
Volodymyr Brazhko,ua Ukraine,0.0,2.02e-06,0.0,0.0,0.99999798,0.0,0.0,0.0,0.0,4,0.99999798
Miloš Veljković,rs Serbia,0.0,0.0,3e-08,0.0,0.99999769,0.0,0.0,0.0,2.28e-06,4,0.99999769
Randal Kolo Muani,fr France,0.0,2.3e-07,0.0,2.1e-06,0.9999974,0.0,0.0,2.6e-07,0.0,4,0.9999974
Morten Hjulmand,dk Denmark,1e-08,0.0,2.83e-06,0.0,0.99999716,0.0,0.0,0.0,0.0,4,0.99999716
Willi Orban,hu Hungary,0.0,2.81e-06,0.0,0.0,0.9999971,0.0,0.0,8e-08,0.0,4,0.9999971
Kacper Urbanski,pl Poland,0.0,0.0,0.0,0.0,0.99999678,0.0,0.0,3.22e-06,0.0,4,0.99999678
Luka Jović,rs Serbia,0.0,0.0,0.0,3.64e-06,0.99999636,0.0,0.0,0.0,0.0,4,0.99999636
Josip Šutalo,hr Croatia,0.0,3.82e-06,0.0,0.0,0.99999618,0.0,0.0,0.0,1e-08,4,0.99999618
Erik Janža,si Slovenia,0.0,0.0,0.0,0.0,0.99999606,0.0,0.0,3.94e-06,0.0,4,0.99999606
Róbert Boženík,sk Slovakia,0.0,2.1e-07,0.0,3.67e-06,0.99999587,0.0,0.0,2.4e-07,0.0,4,0.99999587
Ivan Schranz,sk Slovakia,0.0,0.0,0.0,4.85e-06,0.99999515,0.0,0.0,0.0,0.0,4,0.99999515
Diogo Dalot,pt Portugal,0.0,0.0,6.35e-06,0.0,0.99999365,0.0,0.0,0.0,0.0,4,0.99999365
Adam Buksa,pl Poland,0.0,0.0,0.0,6.8e-06,0.99999319,0.0,0.0,1e-08,0.0,4,0.99999319
Merih Demiral,tr Türkiye,0.0,7.05e-06,0.0,0.0,0.99999295,0.0,0.0,0.0,0.0,4,0.99999295
Răzvan Marin,ro Romania,0.0,2e-08,0.0,0.0,0.99999199,0.0,0.0,7.98e-06,0.0,4,0.99999199
Attila Szalai,hu Hungary,0.0,1.2e-07,0.0,0.0,0.99999131,0.0,0.0,0.0,8.56e-06,4,0.99999131
Jannik Vestergaard,dk Denmark,0.0,1.249e-05,0.0,0.0,0.99998751,0.0,0.0,0.0,0.0,4,0.99998751
